operation_id,field_id,crop_id,operation_type,operation_date,operation_timestamp,equipment_used,operator_name,input_material_name,input_quantity,input_unit,cost_per_unit,total_cost,application_rate,weather_conditions,field_conditions,notes,created_timestamp
ae71307f-5c60-4bff-8972-2de2067d4245,e253eb64-da03-4c3a-bf1a-df80ac996d30,66846,irrigate,1999-11-14,2028-09-06 20:12:27-12:00,"So wise so young, they say, do never live long.",Amberly Franecki,"It is the east, and Juliet is the sun.",20,kg,2829.82,8105.50,1.1952,snowy,barren,"An honest tale speeds best, being plainly told.",2030-03-17 16:59:55+12:00
a202812c-cd4a-45b4-a5a6-8cadd83a083f,621391ee-ed77-413f-898d-138575a2ef36,66847,fertilize,2006-05-03,2016-11-21 11:41:21+01:00,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry.",Conrad Wehner,"The fool doth think he is wise, but the wise man knows himself to be a fool.",136,pounds,6185.83,7093.42,3.1169,rainy,dry,"I will speak daggers to her, but use none.",2028-11-17 17:50:16+08:00
5073c072-364c-45ba-9b10-e14622a3dd2d,5ed533d5-7987-4398-b8c1-32e1ac623163,66848,fertilize,2014-06-11,2024-11-08 17:54:15-09:00,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Tommie Mertz,The king's name is a tower of strength.,629,kg,4263.35,5624.99,5.9267,rainy,barren,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",2011-11-02 18:38:25+08:00
673dfa49-05c3-4dd0-bb52-b64abc3c56a5,bad488a4-2b50-40d0-971a-3b138689c1df,66849,harvest,2014-11-08,2011-11-29 23:34:12-11:00,Wisely and slow; they stumble that run fast.,Ed Morissette DVM,How bitter a thing it is to look into happiness through another man's eyes!,617,pounds,9293.90,3233.72,2.1201,cloudy,wet,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",2000-06-03 00:54:01+05:00
d23bf87b-1d75-4f3a-a575-981b95ff1535,0d219703-0cc8-4cfd-a181-e1cd0424a4c2,66850,irrigate,2017-12-01,2007-02-25 02:03:48+13:00,True is it that we have seen better days.,Clifford Conroy,Not stepping o'er the bounds of modesty.,553,kg,3773.41,8300.26,2.5815,sunny,dry,"An honest tale speeds best, being plainly told.",2000-01-09 07:05:33+03:00
d42c6377-3a70-4974-8825-6264c887b1ea,5700df4b-a951-4d93-91c4-a9e48a921950,66851,irrigate,2007-07-02,2002-08-19 08:57:14+09:00,Off with his head!,Jaime Simonis,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",120,liters,28.09,386.27,4.3261,sunny,dry,Now is the winter of our discontent.,2026-04-11 15:44:08-05:00
23dc7f64-fb1b-487d-9f93-5a01d115454f,9d647b81-f12c-49c5-8bf3-019d7196439f,66852,harvest,2007-07-18,2003-11-29 13:26:05-08:00,Rich gifts wax poor when givers prove unkind.,Dorene Hirthe Jr.,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",757,pounds,2332.97,8416.10,2.9453,sunny,barren,Brevity is the soul of wit.,2005-05-12 12:02:51-03:00
6b8bdb57-c7d4-478c-a2ff-02a9ffe0b156,2b089c2f-01cd-420c-82cb-cece6139a601,66853,harvest,2015-05-12,2019-01-17 22:16:07-10:00,"When sorrows come, they come not single spies, but in battalions.",Terry Fay IV,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",770,pounds,960.91,5329.71,6.0604,rainy,barren,Brevity is the soul of wit.,2012-04-22 15:05:37+01:00
c0f14f1e-173b-4c61-a6f8-3f343aea0249,5c2110e8-5759-4a97-a383-e5ecbb336a95,66854,irrigate,2007-09-30,2000-06-09 23:18:57+14:00,O! she doth teach the torches to burn bright.,Mr. Karena Ziemann,True is it that we have seen better days.,251,liters,8598.21,1942.80,6.0714,rainy,dry,A horse! a horse! my kingdom for a horse!.,2014-08-03 14:15:22+14:00
728771d7-16c6-48d5-9899-d9b336435051,8e05f65f-9f37-4fb9-b9be-a5bc7b9759f3,66855,irrigate,2022-04-15,2014-02-03 12:58:40-03:00,"An honest tale speeds best, being plainly told.",Mckinley Kunde DVM,"So wise so young, they say, do never live long.",475,pounds,2695.90,2841.54,3.3710,rainy,fertile,Not stepping o'er the bounds of modesty.,2012-03-11 22:04:53-09:00
a718004c-f325-404b-a517-f4880d95a673,87d263ec-1f9c-46b2-a43b-515308bbb78d,66856,fertilize,2012-12-12,2030-12-21 01:54:05-09:00,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Mr. Lincoln Lockman,Rich gifts wax poor when givers prove unkind.,995,kg,3646.87,7714.80,3.3630,snowy,dry,Wisely and slow; they stumble that run fast.,2012-07-14 00:26:52-06:00
62d634a0-d436-4208-b577-e998ad487f5d,181d5532-cad2-4528-9f5f-a2be9aedf2b0,66857,harvest,1999-11-21,2014-10-20 02:33:18+14:00,How bitter a thing it is to look into happiness through another man's eyes!,Elwood Yost,"Though this be madness, yet there is method in 't.",956,kg,3063.99,7601.70,3.5715,snowy,wet,What's in a name? That which we call a rose by any other name would smell as sweet.,2014-02-01 17:16:48-09:00
2929a4a8-aede-4889-ab12-e04230de1514,f4b24651-6506-429f-9577-0e736cb6570a,66858,fertilize,2005-04-27,2027-01-18 09:48:11-12:00,"An honest tale speeds best, being plainly told.",Mr. Stacy Hickle,A horse! a horse! my kingdom for a horse!.,603,kg,2691.34,64.57,1.2894,sunny,barren,Wisely and slow; they stumble that run fast.,2006-09-11 09:44:47+13:00
b625ea45-8935-4cef-9a44-9a3ed9870070,9a19d0fb-f33a-4922-9ba7-89d83853804e,66859,irrigate,1999-07-19,2006-01-28 06:49:54-09:00,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Granville Jacobs,"And it must follow, as the night the day, thou canst not then be false to any man.",578,liters,8674.19,2940.33,0.6822,sunny,wet,"The world is grown so bad, that wrens make prey where eagles dare not perch.",2010-11-27 20:19:29-12:00
8df02600-a711-4890-b4e0-16330041b1dc,b0d7cbbd-a573-499c-aab4-4e65d1a132f4,66860,fertilize,2007-05-21,2028-12-04 18:24:46+13:00,Not stepping o'er the bounds of modesty.,Isela Kertzmann,The play 's the thing wherein I'll catch the conscience of the king.,443,kg,1910.14,968.25,8.6840,sunny,barren,The play 's the thing wherein I'll catch the conscience of the king.,2015-05-20 08:34:24Z
1c1ce209-95ac-4ba1-97fd-2f2fe29ed49e,aba68540-c641-409f-beac-1e7990ccdf04,66861,plant,2018-03-09,2017-01-15 22:52:05-10:00,I like this place and willingly could waste my time in it.,Daniela Botsford V,The king's name is a tower of strength.,511,liters,7716.88,1559.70,1.8883,cloudy,barren,"And it must follow, as the night the day, thou canst not then be false to any man.",2000-04-06 18:15:53-03:00
a4033f9e-0b62-4c3c-bce7-cf07755a188f,3257dfff-8802-4bf6-8a2c-e291a0e68e1f,66862,harvest,2007-07-11,2001-03-07 00:06:59+10:00,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Aaron Little,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",627,pounds,2034.30,424.16,2.1365,cloudy,barren,"So wise so young, they say, do never live long.",2011-07-23 05:34:43-02:00
52669a10-ddcc-41e5-9deb-4868046d68b7,736613e4-49ee-4471-a0b0-ff03792904b5,66863,irrigate,2004-05-24,2007-04-04 08:17:42-05:00,True is it that we have seen better days.,Giuseppe Jaskolski,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",211,liters,9896.57,6704.49,0.1094,sunny,dry,Not stepping o'er the bounds of modesty.,2003-02-20 10:05:05-11:00
5d3dcd32-b6cb-423c-b9f1-8db1b1d0143c,69bfd70b-4071-422e-8c0e-cae1b81b6a2c,66864,plant,2017-10-22,2026-09-26 17:04:31+09:00,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Douglas Stark DDS,True is it that we have seen better days.,534,liters,6221.48,2682.73,5.7825,cloudy,barren,The king's name is a tower of strength.,2003-08-25 20:41:00-10:00
66d28545-ceec-46a3-be29-ff5c8f79c8e3,0a295f9b-1701-4ee3-bbb9-9a78f10b0a89,66865,irrigate,2003-08-14,2009-01-31 19:27:28-02:00,That it should come to this!.,Vito Trantow PhD,How bitter a thing it is to look into happiness through another man's eyes!,500,pounds,3851.76,641.47,8.9824,snowy,wet,Off with his head!,2016-01-03 20:06:12-10:00
57f32f85-ec4c-4a86-af7a-3538de3ab402,95924e5b-a746-4e9c-b95a-ed6bc7ea9fca,66866,plant,2007-09-29,2026-08-28 00:36:05+06:00,True is it that we have seen better days.,Madonna Vandervort,For ever and a day.,379,liters,6461.03,86.20,2.6279,snowy,barren,Rich gifts wax poor when givers prove unkind.,2004-06-27 02:15:41+07:00
bde10ca1-db9b-4f71-8f34-65bc96a241a7,0c15584f-45c2-40ce-b161-9470d846aa94,66867,irrigate,1998-01-29,2014-05-04 02:58:55+03:00,O! she doth teach the torches to burn bright.,Mr. Nestor Lynch,I like this place and willingly could waste my time in it.,142,liters,983.97,5786.73,6.4032,rainy,dry,The king's name is a tower of strength.,2018-04-23 21:04:00+10:00
34ce6589-ce72-4b7f-8c2b-c281b4e5d867,cf1f8480-226e-4639-8b29-700dd6c72d10,66868,irrigate,2004-07-24,2007-02-22 07:33:21+14:00,How bitter a thing it is to look into happiness through another man's eyes!,Sharika Blick,"The world is grown so bad, that wrens make prey where eagles dare not perch.",287,pounds,1230.88,8272.14,3.3673,cloudy,barren,The play 's the thing wherein I'll catch the conscience of the king.,2003-07-13 21:32:58+11:00
77598c2d-4fc0-4b19-bffb-a10cb8b0b187,c9f4e299-64ea-4f25-8ce9-7c0e420177c9,66869,irrigate,2002-07-13,2022-07-20 09:34:28+04:00,Do you think I am easier to be played on than a pipe?,Leonel Ebert,"The lady doth protest too much, methinks.",724,liters,5366.04,3711.98,3.8226,cloudy,dry,A horse! a horse! my kingdom for a horse!.,2004-05-03 19:59:00+07:00
458a327c-2a1a-460c-9f61-8c2fbe101b39,840846ca-7fda-41a6-ab27-f1e93543cf49,66870,plant,1998-10-15,2001-06-23 17:12:50Z,That it should come to this!.,Mr. Troy O'Reilly,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",319,liters,3789.66,8859.93,2.5265,snowy,fertile,Do you think I am easier to be played on than a pipe?,2018-04-20 16:46:08-07:00
d29030af-8bfa-41bf-a972-db1f6fc33c70,ee1e5a5b-62f4-4802-a0ef-bad6b914cb15,66871,irrigate,2013-12-29,2011-10-08 01:51:17+09:00,"O Romeo, Romeo! wherefore art thou Romeo?.",Leonel Kling,"So wise so young, they say, do never live long.",649,pounds,7491.92,8307.29,0.9042,sunny,wet,"Though this be madness, yet there is method in 't.",2019-05-01 01:35:54Z
2e6bee4c-c19a-440e-8793-5213435f6710,a3fd31d9-6677-4def-9c86-046a194af4a5,66872,harvest,2018-05-03,2022-10-16 12:01:03+03:00,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Ricardo Hamill,How bitter a thing it is to look into happiness through another man's eyes!,197,liters,5288.26,4889.33,9.3140,sunny,fertile,"The lady doth protest too much, methinks.",2030-01-25 23:28:10+12:00
3761fbd9-63e5-4aae-b3d1-fa00e35823ce,e597bb87-db8c-4037-b2b3-fe14ae71c4a4,66873,plant,2001-03-15,2025-01-05 10:42:19-06:00,In my mind's eye.,Brandon Crist,"So wise so young, they say, do never live long.",644,kg,3828.85,524.28,6.9545,snowy,wet,Brevity is the soul of wit.,2025-04-03 18:41:45-10:00
2ed0b35f-75ea-4fbe-b6c3-4e42edd499dd,b7e81ec5-20da-41a5-acd5-80cf26a814f3,66874,fertilize,2007-07-07,2008-09-01 21:40:04-12:00,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Consuelo Romaguera,I like this place and willingly could waste my time in it.,513,liters,7717.48,5962.71,7.9410,snowy,wet,Not stepping o'er the bounds of modesty.,2017-01-17 14:01:38-06:00
ebe9af2c-f882-432b-a378-301445aacfc7,5e8c4fa3-55a2-4ba6-a2ab-aa1bfbade391,66875,fertilize,1997-10-05,2002-10-24 21:53:48+06:00,"It is the east, and Juliet is the sun.",Orville Howell,"When sorrows come, they come not single spies, but in battalions.",44,kg,8248.81,7256.79,1.6747,cloudy,dry,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",2006-07-22 18:29:54-04:00
b3715207-ffc5-4f4e-beba-2b6ec11bdaab,44dbd71f-974e-4383-af75-a22a391f043a,66876,harvest,2020-08-14,2008-02-15 23:47:50-08:00,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Allen Cummings,"The world is grown so bad, that wrens make prey where eagles dare not perch.",230,kg,5924.83,653.15,9.0764,snowy,barren,"An honest tale speeds best, being plainly told.",2028-12-31 07:56:19+04:00
8c57bc6a-d33b-4c80-812e-ca288cde09d3,100ccb27-bf14-4645-884b-b7b256731289,66877,harvest,2015-11-13,2004-11-04 05:27:11+08:00,The king's name is a tower of strength.,Noelia Reinger,"To be, or not to be: that is the question.",397,pounds,525.49,8929.44,3.3695,cloudy,dry,I like this place and willingly could waste my time in it.,2003-11-20 17:34:31-11:00
c82e3573-ba6c-4e86-b6f8-302f91a40d6b,486db29e-0217-4e91-9a5b-a3607b395813,66878,irrigate,1997-02-22,2020-02-21 01:13:36-11:00,In my mind's eye.,Dr. Ramiro Kunze,"The world is grown so bad, that wrens make prey where eagles dare not perch.",966,liters,687.40,5886.48,9.8835,sunny,barren,"An honest tale speeds best, being plainly told.",2025-04-27 01:36:29-02:00
1a405ded-97cd-40d5-a748-30e116043258,0917d87d-ebcf-475b-9346-7bb068c0952b,66879,plant,2024-07-06,2000-09-11 13:10:02-06:00,"An honest tale speeds best, being plainly told.",Dong Beatty IV,O! she doth teach the torches to burn bright.,63,pounds,7634.29,7615.04,3.4635,rainy,fertile,For you and I are past our dancing days.,2012-02-16 07:18:18+02:00
6d7192cb-5f34-43cb-8ef7-68a3883b712b,c7b84f4e-411a-44ef-ae2f-1c6f65bef2ce,66880,irrigate,2025-05-13,2026-02-15 07:28:21-04:00,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Junior Langosh I,I like this place and willingly could waste my time in it.,196,liters,4398.87,1998.71,3.6659,rainy,barren,"Though this be madness, yet there is method in 't.",2008-06-10 10:28:41-04:00
d076e5a7-ab49-4d59-b6a3-1c258bf762ec,d2af0867-d17e-4e7e-8c3a-a581926b6ac5,66881,harvest,2025-03-01,2005-06-03 16:51:01-02:00,I like this place and willingly could waste my time in it.,Cameron Walter,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,343,kg,2768.25,8937.89,8.7520,sunny,barren,"Though this be madness, yet there is method in 't.",2022-04-03 17:57:11+13:00
12e96e56-13d4-46a1-bc45-b971b8ad79e2,4d86c997-d1b9-47ac-940f-f96d15bce6fa,66882,fertilize,2020-04-17,2004-10-06 00:53:02-05:00,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",Quinn Nolan,Can one desire too much of a good thing?.,544,kg,6928.25,229.61,2.2457,snowy,fertile,Wisely and slow; they stumble that run fast.,2006-03-29 07:19:38+09:00
2f4f0573-c1e3-4d16-915f-339e18e6fe92,cb71aca5-edd2-4b6c-887a-46bafd9bbfb8,66883,fertilize,2008-12-19,2026-06-04 00:38:09-01:00,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Vincent Mante,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",655,kg,9926.52,894.11,2.5598,cloudy,fertile,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",2021-08-21 10:05:30Z
03449cde-535b-44e2-96b0-2d8694395567,172b7634-4ce4-407c-8aa9-18b334227c75,66884,plant,2015-07-09,2010-08-01 05:51:50-06:00,"To be, or not to be: that is the question.",Eldridge Schoen Jr.,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",518,kg,833.76,1000.30,4.9422,sunny,fertile,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",2018-11-19 07:20:14+11:00
119de370-f875-4ebb-ad5a-263dcc681029,f7f33c07-096a-4d65-be97-16a42b72707d,66885,plant,1998-01-01,2030-10-24 04:49:17-03:00,For you and I are past our dancing days.,Theresia Feeney III,The play 's the thing wherein I'll catch the conscience of the king.,125,pounds,7990.61,3684.42,2.4175,cloudy,barren,This above all: to thine own self be true.,2003-05-14 14:35:47+11:00
fcc40dd7-b98a-4fcb-8256-41eabe2f2694,213d9a2c-b79a-4f76-b3df-22b648bd2163,66886,harvest,2010-12-28,2008-08-11 09:09:06-01:00,Tempt not a desperate man.,Christine Stanton,"And it must follow, as the night the day, thou canst not then be false to any man.",728,liters,1022.86,4803.22,7.2692,rainy,fertile,That it should come to this!.,2009-09-16 12:10:11-03:00
cb623271-4441-4fd2-a210-ead37aa377a2,8a2d25c9-4d48-40da-b869-5e7de0fd85e5,66887,harvest,2008-06-22,2015-01-10 14:17:35Z,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Norman Rosenbaum II,Off with his head!,895,pounds,1928.28,3225.11,5.5419,rainy,wet,"The world is grown so bad, that wrens make prey where eagles dare not perch.",2004-07-09 18:23:35-02:00
0276703f-428e-4cae-9e28-039d7634e1b2,41af69e0-f6ab-403a-ba20-1465337eeeae,66888,irrigate,2023-10-28,2000-09-18 15:12:33-04:00,A horse! a horse! my kingdom for a horse!.,Miss Abram Will,What's in a name? That which we call a rose by any other name would smell as sweet.,614,kg,2512.49,8191.04,5.9089,rainy,barren,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",2000-12-08 16:06:45-12:00
b40b8ecd-4431-4b39-b71f-6d9d5d5cea43,ac9caaff-2027-4f13-afb5-919578f7170a,66889,plant,2015-02-08,2001-09-22 15:42:32Z,Tempt not a desperate man.,Alene Legros,The king's name is a tower of strength.,436,liters,2232.48,8182.05,9.3981,sunny,fertile,Now is the winter of our discontent.,2009-07-05 11:21:52-01:00
af17f64d-b9c8-4c1b-b5c5-e7344ac35b00,390bb3b1-eb7d-4325-b757-7bfbae67d06f,66890,irrigate,2011-02-15,2011-01-31 08:58:33+04:00,Wisely and slow; they stumble that run fast.,Malika Waelchi III,O! she doth teach the torches to burn bright.,109,pounds,7260.75,2808.08,7.1749,rainy,fertile,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",2004-05-14 03:01:39+06:00
